day	subNum	BN	TN	chordID	trialPoint	MD	RT	ET	angle	jerk	sine	repetition	thumb_onset	index_onset	middle_onset	ring_onset	pinkie_onset	thumb_onset_order	index_onset_order	middle_onset_order	ring_onset_order	pinkie_onset_order	thumb_dforce	index_dforce	middle_dforce	ring_dforce	pinkie_dforce	thumb_dforce_order	index_dforce_order	middle_dforce_order	ring_dforce_order	pinkie_dforce_order	thumb_exit	index_exit	middle_exit	ring_exit	pinkie_exit	thumb_exit_order	index_exit_order	middle_exit_order	ring_exit_order	pinkie_exit_order	thumb_entry	index_entry	middle_entry	ring_entry	pinkie_entry	thumb_entry_order	index_entry_order	middle_entry_order	ring_entry_order	pinkie_entry_order	RT+ET
1	100	4.465116279069767	25.790697674418606	56419.20930232558	0.8186046511627907	2.0746493187627117	0.5127118644067796	3.0659774011299437	1.5627203378531074	132953359.68209039	0.6127530350564971	3.0	0.5874945054945054	0.6017718120805369	0.5612280701754386	0.5752994350282487	0.578	1.8241758241758241	1.7516778523489933	1.2017543859649122	1.2937853107344632	1.5197740112994351	1.3326813186813187	1.3998657718120806	1.8249649122807017	1.690949152542373	1.9949604519774011	1.4065934065934067	1.3154362416107384	1.2456140350877194	1.4463276836158192	1.92090395480226	0.8472747252747254	0.7684429530201342	0.6751929824561403	0.7905875706214689	0.9027683615819209	1.8461538461538463	1.4966442953020134	0.8333333333333334	1.4519774011299436	1.8022598870056497	1.649010989010989	1.8865369127516778	2.654421052631579	2.5952090395480223	2.5085875706214686	1.120879120879121	1.2818791946308725	1.087719298245614	1.7175141242937852	1.926553672316384	3.578689265536723
1	101	4.365853658536586	25.4390243902439	54764.634146341465	0.8585365853658536	2.1277499059261364	0.4840795454545454	2.500125	1.5953163036647728	118065750.728125	0.6253088600681818	3.0	0.5801263157894737	0.5005	0.517025641025641	0.4929318181818182	0.5157045454545455	1.3578947368421053	1.4071428571428573	1.2478632478632479	1.4829545454545454	1.8352272727272727	1.1640210526315788	1.1781142857142857	1.682222222222222	1.1642045454545455	1.345625	1.4631578947368422	1.3785714285714286	1.564102564102564	1.2329545454545454	1.8409090909090908	0.7751578947368422	0.6548142857142857	0.6128034188034187	0.6011477272727274	0.7488181818181818	1.6210526315789473	1.3214285714285714	0.9572649572649573	1.2215909090909092	2.215909090909091	1.5248631578947367	1.8866285714285713	2.844478632478632	1.9988750000000002	1.9094659090909092	1.5578947368421052	1.3142857142857143	1.7435897435897436	1.4261363636363635	1.5284090909090908	2.9842045454545456
1	102	4.866666666666666	25.333333333333332	60420.73333333333	0.9	1.283686584948148	0.36828148148148143	1.6507111111111112	1.4300956462148149	110487618.5491111	0.49611771621481476	3.0	0.36259649122807014	0.34728000000000003	0.3146363636363636	0.3366074074074074	0.35146666666666665	1.4385964912280702	1.84	0.75	1.288888888888889	1.9111111111111112	0.738842105263158	0.685408	0.7727499999999999	0.7505925925925926	0.7876	1.5087719298245614	1.608	1.1022727272727273	1.525925925925926	1.6296296296296295	0.5156140350877193	0.511616	0.40825	0.49758518518518524	0.5616888888888889	1.4736842105263157	1.528	0.4090909090909091	1.7555555555555555	1.9407407407407407	1.3106666666666666	0.9928640000000001	1.2641136363636365	1.561288888888889	1.278237037037037	1.3859649122807018	1.344	1.0340909090909092	1.9185185185185185	1.5777777777777777	2.0189925925925927
1	103	4.461538461538462	26.71794871794872	51514.153846153844	0.9794871794871794	1.3403919452565445	0.4667329842931937	1.7725235602094243	1.5356393568062827	184509439.42340314	0.47828437796335077	3.0	0.45896610169491525	0.42190551181102365	0.3936204379562044	0.36038743455497385	0.3880523560209424	1.3135593220338984	1.3543307086614174	1.4817518248175183	1.2408376963350785	1.9842931937172774	0.9331694915254237	1.0409448818897638	0.8466277372262774	0.8610575916230366	1.105109947643979	1.3559322033898304	1.31496062992126	1.3503649635036497	1.4345549738219896	1.8848167539267016	0.573406779661017	0.6088818897637795	0.543065693430657	0.5998743455497383	0.5970680628272251	1.305084745762712	1.094488188976378	0.948905109489051	1.8900523560209423	1.8952879581151831	1.2316610169491526	1.2949763779527559	1.3925255474452556	1.5772984293193717	1.3844397905759163	1.0508474576271187	1.4566929133858268	1.0218978102189782	1.8900523560209423	1.7591623036649215	2.239256544502618
1	104	4.4222222222222225	24.77777777777778	55429.311111111114	0.7511111111111111	1.0677498712426037	0.5589112426035503	2.2322248520710057	1.4402043939881657	125593430.2495858	0.46388033066863904	3.0	0.5146575342465753	0.4536323529411765	0.44173643410852714	0.35921893491124257	0.46189349112426037	1.8904109589041096	1.4779411764705883	1.310077519379845	1.0946745562130178	1.8994082840236686	1.449095890410959	0.8459264705882353	1.057426356589147	0.895810650887574	1.2122603550295856	1.5616438356164384	1.2941176470588236	1.4651162790697674	1.319526627218935	1.8461538461538463	0.7746301369863013	0.6650294117647059	0.5983875968992248	0.7718934911242603	0.7170177514792899	1.356164383561644	1.1911764705882353	1.1395348837209303	1.9467455621301775	1.6390532544378698	1.9934246575342467	1.0938823529411765	1.4010077519379844	2.508437869822485	1.5341656804733728	1.2328767123287672	0.9264705882352942	1.2790697674418605	2.3136094674556213	1.4319526627218935	2.791136094674556
1	106	4.214285714285714	24.428571428571427	56830.21428571428	0.8714285714285714	1.5864835294918032	0.5517704918032788	2.3814426229508197	1.7697644349398907	126105288.11398907	0.5255026716994535	3.0	0.47696774193548386	0.5844150943396226	0.5168421052631579	0.5698688524590164	0.5779016393442623	0.4946236559139785	1.628930817610063	0.7982456140350878	1.7049180327868851	2.1311475409836067	1.1288602150537634	1.1568301886792454	1.3283333333333334	1.2962950819672132	1.1364918032786886	0.946236559139785	1.509433962264151	1.0964912280701755	1.633879781420765	1.8907103825136613	0.619268817204301	0.7804528301886793	0.6253508771929824	0.7249726775956283	0.8202950819672131	0.7311827956989247	1.5660377358490567	0.7280701754385965	1.5901639344262295	2.2240437158469946	1.3220430107526882	1.5998490566037735	2.5220350877192983	2.3971475409836067	1.514	0.8709677419354839	1.3144654088050314	1.605263157894737	2.098360655737705	1.3169398907103824	2.9332131147540985
1	107	4.5227272727272725	24.477272727272727	60171.27272727273	0.8227272727272728	1.9462499094917127	0.547878453038674	2.9137237569060774	1.6071519362486189	141576732.5513812	0.5646666373646408	3.0	0.5060526315789474	0.5281242236024845	0.5913120000000001	0.710011049723757	0.8117127071823204	1.486842105263158	1.049689440993789	0.896	1.591160220994475	2.2320441988950277	1.0501578947368422	1.1389813664596273	1.975584	1.7609944751381217	1.6084309392265193	1.118421052631579	0.7763975155279503	1.488	1.856353591160221	1.9558011049723756	0.6205	0.6399006211180124	0.750576	1.0220552486187844	1.0471049723756907	0.8552631578947368	0.9006211180124224	0.904	2.0	2.2154696132596685	1.801973684210526	1.7160621118012422	2.94672	2.5015911602209946	2.096475138121547	1.2236842105263157	0.8322981366459627	1.792	1.7790055248618784	1.729281767955801	3.461602209944751
1	108	4.666666666666667	22.102564102564102	16473.5641025641	0.9692307692307692	1.1098989785789475	0.46267368421052635	1.9414105263157895	1.6333220864421052	205269163.51000002	0.3872206741105263	3.0	0.45331578947368417	0.39093750000000005	0.4115368421052632	0.44195	0.4401285714285714	1.6105263157894736	1.0125	1.3578947368421053	1.8	1.9285714285714286	1.5239052631578949	0.6851125	0.9931368421052631	1.14385	1.1021571428571428	1.8157894736842106	0.78125	1.4631578947368422	1.7375	1.8071428571428572	0.8122105263157894	0.5490125	0.5946210526315789	0.7157	0.6957285714285715	1.8894736842105264	0.73125	1.1421052631578947	2.075	2.007142857142857	2.0271263157894737	0.9613625000000001	1.1338105263157896	1.8113499999999998	1.2204285714285714	2.094736842105263	0.88125	1.2210526315789474	1.7	1.6642857142857144	2.404084210526316
1	109	4.393939393939394	24.363636363636363	16143.121212121212	0.7393939393939394	1.895660835878049	0.6248455284552845	3.0013821138211383	1.57597793199187	310371650.98317075	0.610561778105691	3.0	0.5495934959349593	0.6327608695652174	0.5604878048780487	0.5455890410958905	0.48575308641975307	1.6504065040650406	1.4891304347826086	1.2439024390243902	1.7671232876712328	1.4320987654320987	1.465869918699187	1.783413043478261	1.4929105691056912	1.783041095890411	1.439358024691358	1.3983739837398375	1.6521739130434783	1.3414634146341464	2.0821917808219177	1.1975308641975309	0.8135934959349593	0.970304347826087	0.7100162601626017	1.2471506849315068	0.8062716049382715	1.3902439024390243	1.5869565217391304	0.7967479674796748	2.4246575342465753	1.8024691358024691	2.0254471544715447	2.7667608695652173	2.4729430894308946	2.802849315068493	2.3004938271604938	1.056910569105691	1.5434782608695652	1.5040650406504066	1.9315068493150684	1.728395061728395	3.626227642276423
1	110	4.2444444444444445	24.11111111111111	16101.488888888889	0.88	1.1662729658333333	0.548959595959596	1.9203333333333332	1.655175294828283	219280664.61590907	0.47680500341414145	3.0	0.5439090909090909	0.5423668639053254	0.5131717171717172	0.5769285714285715	0.5370909090909091	1.4747474747474747	1.3431952662721893	1.202020202020202	1.8214285714285714	1.944055944055944	1.2303030303030302	0.9322130177514794	0.9904747474747475	1.1750238095238095	0.9408531468531469	1.696969696969697	1.3076923076923077	1.207070707070707	1.9166666666666667	1.6153846153846154	0.7037676767676768	0.6900591715976332	0.6403939393939394	0.8107380952380953	0.7225314685314685	1.4494949494949494	1.5088757396449703	1.1565656565656566	2.0238095238095237	1.7272727272727273	1.9867777777777778	1.3034082840236687	1.6632323232323232	1.8979523809523808	1.1075244755244755	2.0202020202020203	1.331360946745562	1.2525252525252526	1.4880952380952381	1.3286713286713288	2.4692929292929295
