exit	participant_id	day	chordID	chord
0.16857142857142857	subj100	1	91211	untrained
-0.22000000000000006	subj100	1	91211	untrained
0.2742857142857143	subj100	1	91211	untrained
0.34857142857142864	subj100	1	91211	untrained
0.2485714285714286	subj100	1	91211	untrained
0.35428571428571437	subj100	1	91211	untrained
0.42857142857142855	subj100	1	91211	untrained
0.42857142857142855	subj100	1	91211	untrained
0.22000000000000006	subj100	1	91211	untrained
0.0	subj100	1	91211	untrained
-0.2857142857142857	subj100	1	91211	untrained
-0.2857142857142857	subj100	1	91211	untrained
-0.08571428571428572	subj100	1	91211	untrained
-0.14571428571428574	subj100	1	91211	untrained
-0.12285714285714285	subj100	1	91211	untrained
-0.14	subj100	1	91211	untrained
0.22000000000000006	subj100	1	91211	untrained
0.2514285714285715	subj100	1	91211	untrained
0.2514285714285715	subj100	1	91211	untrained
0.12285714285714285	subj100	1	91211	untrained
0.14571428571428574	subj100	1	91211	untrained
0.35428571428571437	subj100	1	91211	untrained
0.2742857142857143	subj100	1	91211	untrained
0.2742857142857143	subj100	1	91211	untrained
0.12285714285714285	subj100	1	91211	untrained
0.37142857142857144	subj100	1	91211	untrained
-0.14571428571428574	subj100	1	91211	untrained
0.34857142857142864	subj100	1	91211	untrained
0.1457142857142857	subj100	1	91211	untrained
0.14	subj100	1	91211	untrained
0.35428571428571437	subj100	1	91211	untrained
0.1457142857142857	subj100	1	91211	untrained
0.2742857142857143	subj100	1	91211	untrained
0.35428571428571437	subj100	1	91211	untrained
-0.12285714285714285	subj100	1	91211	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	21291	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	92122	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	19111	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	29212	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
	subj100	1	22911	untrained
